Alarm id: 1, type: High, priority: 1, message: Visoka struja, time: 22.8.2023. 23:07:59, value: 5.
Alarm id: 3, type: High, priority: 2, message: Niska struja, time: 22.8.2023. 23:07:59, value: 98.
Alarm id: 3, type: High, priority: 2, message: Niska struja, time: 22.8.2023. 23:07:59, value: 5.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: 98.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: 98.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: 5.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: 5.
Alarm id: 3, type: High, priority: 2, message: Niska struja, time: 22.8.2023. 23:07:59, value: -99.
Alarm id: 1, type: High, priority: 1, message: Visoka struja, time: 22.8.2023. 23:07:59, value: 5.
Alarm id: 3, type: High, priority: 2, message: Niska struja, time: 22.8.2023. 23:07:59, value: 98.
Alarm id: 1, type: High, priority: 1, message: Visoka struja, time: 22.8.2023. 23:07:59, value: -99.
Alarm id: 3, type: High, priority: 2, message: Niska struja, time: 22.8.2023. 23:07:59, value: 98.
Alarm id: 4, type: High, priority: 2, message: High value!, time: 22.8.2023. 23:38:59, value: -99.
Alarm id: 5, type: Low, priority: 1, message: Low value!, time: 22.8.2023. 23:39:59, value: 5.
Alarm id: 5, type: Low, priority: 1, message: Low value!, time: 22.8.2023. 23:39:59, value: -99.
Alarm id: 4, type: High, priority: 2, message: High value!, time: 22.8.2023. 23:38:59, value: 98.
Alarm id: 4, type: High, priority: 2, message: High value!, time: 22.8.2023. 23:38:59, value: 5.
Alarm id: 5, type: Low, priority: 1, message: Low value!, time: 22.8.2023. 23:39:59, value: 98.
Alarm id: 5, type: Low, priority: 1, message: Low value!, time: 22.8.2023. 23:39:59, value: 5.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: -99.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: -99.
Alarm id: 5, type: Low, priority: 1, message: Low value!, time: 22.8.2023. 23:39:59, value: 5.
Alarm id: 4, type: High, priority: 2, message: High value!, time: 22.8.2023. 23:38:59, value: 98.
Alarm id: 5, type: Low, priority: 1, message: Low value!, time: 22.8.2023. 23:39:59, value: -99.
Alarm id: 4, type: High, priority: 2, message: High value!, time: 22.8.2023. 23:38:59, value: 98.
Alarm id: 4, type: High, priority: 2, message: High value!, time: 22.8.2023. 23:38:59, value: -99.
Alarm id: 4, type: High, priority: 2, message: High value!, time: 22.8.2023. 23:38:59, value: 98.
Alarm id: 4, type: High, priority: 2, message: High value!, time: 22.8.2023. 23:38:59, value: 5.
Alarm id: 5, type: Low, priority: 1, message: Low value!, time: 22.8.2023. 23:39:59, value: -99.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: -99.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: 98.
Alarm id: 4, type: High, priority: 2, message: High value!, time: 22.8.2023. 23:38:59, value: 5.
Alarm id: 4, type: High, priority: 2, message: High value!, time: 22.8.2023. 23:38:59, value: 5.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: 5.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: 5.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: 5.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: 98.
Alarm id: 2, type: High, priority: 3, message: Previsoka struja, time: 22.8.2023. 23:07:59, value: -99.
Alarm id: 7, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:36:59, value: 5.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 98.
Alarm id: 9, type: Low, priority: 1, message: Low value!, time: 23.8.2023. 00:38:59, value: 98.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: -99.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 10.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 15.
Alarm id: 9, type: Low, priority: 1, message: Low value!, time: 23.8.2023. 00:38:59, value: 96.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 30.
Alarm id: 9, type: Low, priority: 1, message: Low value!, time: 23.8.2023. 00:38:59, value: 11.
Alarm id: 9, type: Low, priority: 1, message: Low value!, time: 23.8.2023. 00:38:59, value: 13.
Alarm id: 7, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:36:59, value: 15.
Alarm id: 7, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:36:59, value: 18.
Alarm id: 7, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:36:59, value: 20.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 62.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 23.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 62.
Alarm id: 7, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:36:59, value: 30.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 83.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 50.
Alarm id: 9, type: Low, priority: 1, message: Low value!, time: 23.8.2023. 00:38:59, value: 91.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 38.
Alarm id: 7, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:36:59, value: 25.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 89.
Alarm id: 7, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:36:59, value: 70.
Alarm id: 9, type: Low, priority: 1, message: Low value!, time: 23.8.2023. 00:38:59, value: 81.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 85.
Alarm id: 7, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:36:59, value: 91.
Alarm id: 8, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:37:59, value: 95.
Alarm id: 7, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:36:59, value: -70.
Alarm id: 7, type: Low, priority: 3, message: Low value!, time: 23.8.2023. 00:36:59, value: 35.
